ID,RA,DEJ2000,Mass,z,SFR,NH,NH_err,OH,OH_err,,
18,150.23394,2.126034,5.36E+09,0.837771,8.124758,0.349333,0.014455,8.640347,0.010534,,
21,150.25927,2.324294,4.30E+09,0.842185,5.208946,0.07889,0.0383,8.268285,0.155945,,
25,150.27355,1.882704,1.07E+10,0.837601,6.380709,0.256047,0.016964,8.563569,0.016165,,
28,150.29337,1.885821,2.25E+09,0.839406,3.479079,0.157664,0.032384,8.442637,0.055568,,
29,150.29886,2.19363,3.71E+09,0.835713,3.86639,0.509679,0.051439,8.732069,0.024628,,
33,150.30926,2.185492,6.81E+09,0.837046,6.590428,0.411332,0.025401,8.679817,0.015164,,
38,150.32879,2.004896,1.30E+10,0.838768,3.194515,0.352311,0.068495,8.642262,0.050585,,
41,150.34748,2.133901,1.35E+10,0.850864,1.603822,0.563775,0.11771,8.761362,0.055401,,
44,150.35696,1.909348,3.41E+09,0.854812,2.686875,0.258048,0.040482,8.561489,0.039337,,
46,150.36298,1.943823,1.96E+10,0.85378,16.76013,0.387259,0.014012,8.665382,0.008713,,
52,150.40989,2.083741,1.30E+10,0.853802,2.423414,0.814253,0.111627,8.848834,0.033933,,
53,149.80901,2.026921,1.82E+10,0.846738,14.73625,0.37484,0.024406,8.656993,0.016215,,
57,149.83392,2.047766,2.94E+09,0.806378,2.645937,0.518152,0.199556,8.735918,0.140042,,
65,149.89948,2.002861,3.23E+09,0.849309,3.227891,0.129377,0.033139,8.393687,0.072951,,
67,149.9464,2.30252,2.86E+10,0.888595,6.943521,0.282068,0.018292,8.586583,0.016081,,
70,150.35104,1.986955,1.59E+10,0.829026,11.836962,0.37542,0.016082,8.658029,0.010539,,
74,150.39053,1.957027,3.92E+10,0.96041,18.843822,0.341732,0.006972,8.634384,0.005047,,
77,150.3152,1.895164,7.47E+09,0.839319,10.90476,0.415757,0.010639,8.683381,0.006143,,
86,150.24601,1.854097,3.99E+09,0.837416,4.441936,0.187813,0.021968,8.483609,0.02981,,
88,150.30803,1.916526,1.76E+10,0.896928,6.950065,0.29613,0.02141,8.5996,0.018023,,
89,150.23447,1.906586,4.42E+09,0.955679,12.976546,0.272392,0.017061,8.577202,0.015956,,
92,150.41056,2.079824,3.11E+10,0.961797,7.75402,0.063215,0.030768,8.223159,0.162024,,
94,150.39563,1.983916,2.13E+10,1.041979,5.413836,0.069663,0.023005,8.243118,0.103123,,
95,150.38941,1.984205,2.69E+10,0.82885,3.552206,0.230143,0.035063,8.534795,0.037783,,
97,150.3797,2.014664,2.19E+10,0.84267,3.775881,0.842246,0.067311,8.856813,0.019389,,
99,150.3701,2.042303,4.30E+10,0.974134,12.114727,0.764777,0.035312,8.833771,0.011063,,
107,149.97116,2.049829,2.54E+10,0.800873,6.466073,0.45815,0.021186,8.707599,0.01128,,
108,149.96944,2.063131,5.12E+09,0.8873,2.907091,0.311666,0.040236,8.609643,0.031457,,
111,149.94376,2.114781,2.02E+10,0.894797,6.020615,0.719793,0.084544,8.818316,0.029165,,
112,149.93803,2.086764,7.19E+09,0.886578,4.488602,0.008157,0.03044,7.979612,0.281335,,
118,149.90277,2.059139,1.18E+10,0.952926,7.949136,0.175615,0.027958,8.467231,0.040083,,
119,149.8928,2.021861,2.49E+10,0.855195,7.839318,0.257228,0.016998,8.56308,0.016451,,
121,149.83053,2.029764,4.10E+09,0.888067,15.12173,0.017353,0.020581,7.940206,0.233802,,
122,149.81511,1.983512,1.98E+10,0.96,7.907315,0.61903,0.020772,8.781673,0.008435,,
123,150.32104,2.08066,1.26E+10,0.869109,7.677766,0.362546,0.02437,8.649473,0.017078,,
124,150.34824,2.182325,4.80E+09,0.924073,8.533735,0.122117,0.016889,8.376568,0.036066,,
125,150.34758,2.157299,5.98E+09,0.898285,5.840837,0.076572,0.023315,8.269315,0.087052,,
132,150.31152,2.129788,4.14E+10,0.873949,7.595565,0.502349,0.03668,8.728904,0.017673,,
135,150.29667,2.262943,2.04E+10,0.980206,10.033716,0.338355,0.031047,8.631682,0.024055,,
